sample-pruner: freed 0.18 GB, 1970 pruned, 0 checked
sample-pruner: freed 0.57 GB, 1977 pruned, 0 checked
sample-pruner: freed 0.17 GB, 1979 pruned, 0 checked
sample-pruner: freed 0.10 GB, 1980 pruned, 0 checked
sample-pruner: freed 0.19 GB, 1982 pruned, 0 checked
sample-pruner: freed 0.44 GB, 1989 pruned, 0 checked
sample-pruner: freed 0.17 GB, 1991 pruned, 0 checked
sample-pruner: freed 0.63 GB, 1996 pruned, 0 checked
sample-pruner: freed 0.67 GB, 2003 pruned, 0 checked
sample-pruner: freed 0.23 GB, 2006 pruned, 0 checked
sample-pruner: freed 0.39 GB, 2011 pruned, 0 checked
sample-pruner: freed 0.33 GB, 2014 pruned, 0 checked
sample-pruner: freed 0.14 GB, 2015 pruned, 0 checked
sample-pruner: freed 0.51 GB, 2019 pruned, 0 checked
sample-pruner: freed 0.42 GB, 2024 pruned, 0 checked
sample-pruner: freed 0.22 GB, 2027 pruned, 0 checked
sample-pruner: freed 0.66 GB, 2035 pruned, 0 checked
sample-pruner: freed 0.23 GB, 2037 pruned, 0 checked
sample-pruner: freed 0.08 GB, 2038 pruned, 0 checked
sample-pruner: freed 0.39 GB, 2042 pruned, 0 checked
sample-pruner: freed 0.18 GB, 2044 pruned, 0 checked
sample-pruner: freed 0.29 GB, 2048 pruned, 0 checked
sample-pruner: freed 0.19 GB, 2052 pruned, 0 checked
sample-pruner: freed 0.18 GB, 2054 pruned, 0 checked
sample-pruner: freed 0.41 GB, 2060 pruned, 0 checked
sample-pruner: freed 0.65 GB, 2066 pruned, 0 checked
sample-pruner: freed 0.22 GB, 2069 pruned, 0 checked
sample-pruner: freed 0.22 GB, 2072 pruned, 0 checked
sample-pruner: freed 0.60 GB, 2077 pruned, 0 checked
sample-pruner: freed 0.31 GB, 2081 pruned, 0 checked
sample-pruner: freed 0.40 GB, 2085 pruned, 0 checked
sample-pruner: freed 0.27 GB, 2089 pruned, 0 checked
sample-pruner: freed 0.27 GB, 2093 pruned, 0 checked
sample-pruner: freed 0.29 GB, 2097 pruned, 0 checked
sample-pruner: freed 0.48 GB, 2101 pruned, 0 checked
sample-pruner: freed 0.51 GB, 2107 pruned, 0 checked
sample-pruner: freed 0.52 GB, 2112 pruned, 0 checked
sample-pruner: freed 0.51 GB, 2118 pruned, 0 checked
sample-pruner: freed 0.17 GB, 2120 pruned, 0 checked
sample-pruner: freed 0.16 GB, 2122 pruned, 0 checked
sample-pruner: freed 0.39 GB, 2126 pruned, 0 checked
sample-pruner: freed 0.66 GB, 2137 pruned, 0 checked
^Csample-pruner: sample of 1600 of 16384; 0 checked, 2137 pruned so far
sample-pruner: freed 0.07 GB, 2138 pruned, 0 checked
sample-pruner: freed 0.17 GB, 2141 pruned, 0 checked
sample-pruner: freed 0.24 GB, 2144 pruned, 0 checked
sample-pruner: freed 0.74 GB, 2154 pruned, 0 checked
sample-pruner: freed 0.35 GB, 2158 pruned, 0 checked
sample-pruner: freed 0.41 GB, 2164 pruned, 0 checked
sample-pruner: freed 0.61 GB, 2170 pruned, 0 checked
sample-pruner: freed 0.60 GB, 2176 pruned, 0 checked
sample-pruner: freed 0.84 GB, 2184 pruned, 0 checked
sample-pruner: freed 0.34 GB, 2187 pruned, 0 checked
sample-pruner: freed 1.03 GB, 2198 pruned, 0 checked
sample-pruner: freed 0.60 GB, 2206 pruned, 0 checked
sample-pruner: freed 0.53 GB, 2211 pruned, 0 checked
sample-pruner: freed 0.34 GB, 2215 pruned, 0 checked
sample-pruner: freed 0.62 GB, 2223 pruned, 0 checked
sample-pruner: freed 1.10 GB, 2236 pruned, 0 checked
sample-pruner: freed 0.74 GB, 2244 pruned, 0 checked
sample-pruner: freed 0.52 GB, 2250 pruned, 0 checked
sample-pruner: freed 0.50 GB, 2256 pruned, 0 checked
sample-pruner: freed 0.78 GB, 2266 pruned, 0 checked
sample-pruner: freed 0.07 GB, 2267 pruned, 0 checked
sample-pruner: freed 0.36 GB, 2270 pruned, 0 checked
sample-pruner: freed 0.63 GB, 2277 pruned, 0 checked
sample-pruner: freed 0.34 GB, 2282 pruned, 0 checked
sample-pruner: freed 0.67 GB, 2289 pruned, 0 checked
sample-pruner: freed 0.29 GB, 2292 pruned, 0 checked
sample-pruner: freed 0.49 GB, 2296 pruned, 0 checked
sample-pruner: freed 0.50 GB, 2302 pruned, 0 checked
sample-pruner: freed 0.65 GB, 2311 pruned, 0 checked
sample-pruner: freed 0.25 GB, 2313 pruned, 0 checked
sample-pruner: freed 1.02 GB, 2322 pruned, 0 checked
sample-pruner: freed 0.75 GB, 2332 pruned, 0 checked
sample-pruner: freed 0.81 GB, 2341 pruned, 0 checked
sample-pruner: freed 0.91 GB, 2353 pruned, 0 checked
sample-pruner: freed 0.89 GB, 2365 pruned, 0 checked
sample-pruner: freed 0.63 GB, 2372 pruned, 0 checked
sample-pruner: freed 0.68 GB, 2378 pruned, 0 checked
sample-pruner: freed 0.34 GB, 2383 pruned, 0 checked
sample-pruner: freed 0.24 GB, 2385 pruned, 0 checked
sample-pruner: freed 0.31 GB, 2388 pruned, 0 checked
sample-pruner: freed 0.66 GB, 2394 pruned, 0 checked
sample-pruner: freed 0.69 GB, 2402 pruned, 0 checked
